"for syntax 1 = parser error, 0 = timeout, 5 = ok",,,,,,,,,,,,,,,,,,,,,,
"for semantics 0 = no model, 1 = wrong, 5 = right",,,,,,,,,,,,,,,,,,,,,,
,GPT3.5 LLM Time,SPEAK Repair Time,SPEAK GPT3.5,SPEAK GPT3.5,SPEAK GPT3.5,GPT4 LLM TIme,SPEAK Repair Tme,SPEAK GPT4,SPEAK GPT4,SPEAK GPT4,finetuned,finetuned,gpt 4 turbo one shot,,gpt4 turobo three shot yes cot,,gpt4 turobo three shot no cot,,gpt3 turobo three shot yes cot,,gpt3 turobo three shot no cot,
,,,,,,,,,,,,,,,,,,,,,,
,,,syntactic,semantic,semantic,,,syntactic,semantic,semantic,syntactic,semantic,syntactic,semantic,syntactic ,semantic,syntactic ,semantic,syntactic ,semantic,syntactic ,semantic
bk-ex1_1.ucl,4.18,0.61,5,5,5,70.12,3.23,0,5,0,1,,1,,1,,1,,1,,1,
bk-ex2_11.ucl,9.02,1.24,5,5,5,31.6,1.09,5,5,5,1,,1,,1,,1,,1,,1,
bk-ex2_12.ucl,11.32,1.53,5,3,3,14.27,0.05,1,0,0,1,,1,,1,,1,,1,,1,
bk-ex2_17-part2.ucl,8.61,1.58,5,5,5,10.86,0.41,5,3,3,5,2,1,,1,,1,,1,,1,
bk-ex2_17.ucl,3.15,0.62,5,5,5,7.59,0.34,5,5,5,1,,1,,5,5,5,5,5,5,5,5
bk-ex2_2.ucl,6.31,0.6,1,1,0,72.72,3.87,5,5,5,1,,1,,1,,1,,1,,1,
bk_ex2_20.ucl,4.46,0.33,5,3,3,10.37,0.37,5,4,4,1,,5,4,5,4,5,4,1,,1,
bk_ex2_25.ucl,4.08,0.82,5,1,1,39.22,2.44,5,1,1,1,,1,,1,,1,,1,,1,
bk_ex2_29.ucl,2.69,0.61,5,5,5,74.48,3.23,5,5,5,1,,1,,1,,1,,1,,1,
bk_ex2_30.ucl,4.58,0.95,1,3,0,91.27,10.14,0,0,0,1,,1,,1,,1,,1,,1,
bk_ex2_32.ucl,5.83,1.02,5,1,1,22.65,0.28,1,0,0,1,,1,,1,,1,,1,,1,
bk_ex2_43.ucl,20.46,1.78,1,4,0,12.52,0.38,1,5,0,1,,1,,1,,1,,1,,1,
bk_ex3_1.ucl,6.01,0.81,5,2,2,15.61,0.55,5,5,5,1,,1,,1,,1,,1,,1,
bk_ex3_2.ucl,10.2,0.57,5,2,2,13.1,0.39,5,4,4,1,,1,,1,,1,,1,,1,
bk_ex3_23.ucl,6.5,0.78,5,3,3,5.16,0.39,5,4,4,1,,1,,1,,1,,1,,1,
bk_ex3_24.ucl,4.65,0.58,5,4,4,70.82,3.5,0,4,0,1,,1,,1,,1,,1,,1,
bk_q2_12.ucl,10.19,1.43,5,4,4,13.28,0.53,5,3,3,1,,1,,1,,1,,1,,1,
bk_q2_2.ucl,8.4,0.48,5,3,3,26.78,0.66,1,0,0,1,,1,,1,,1,,1,,1,
bk_q2_3.ucl,5.76,0.57,5,1,1,39.34,2.63,5,5,5,1,,1,,1,,1,,1,,1,
bk_q2_5.ucl,7.12,1.01,5,2,2,37.3,1.7,5,5,5,1,,1,,1,,1,,1,,1,
bk_q2_6.ucl,4.72,0.57,5,2,2,32.96,2.29,5,5,5,1,,1,,1,,1,,1,,1,
hr_p192.ucl,2.25,0.27,5,4,4,11.83,0.29,5,4,4,1,,1,,1,,1,,1,,1,
hr_p199.ucl,19.79,2.4,5,2,2,92.49,5.05,0,3,0,1,,1,,1,,1,,1,,1,
hr_p203.ucl,7.97,0.86,5,2,2,52.94,1.82,5,2,2,5,2,1,,1,,1,,1,,1,
ls-ex3_1.ucl,3.14,0.3,5,5,5,49.81,2.54,5,5,5,1,,1,,1,,1,,1,,1,
ls-ex3_13.ucl,11.87,2.27,5,4,4,28.17,2.32,5,4,4,1,,1,,1,,5,4,1,,1,
ls-ex3_5.ucl,9.83,0.84,5,5,5,25.9,0.4,5,4,4,1,,1,,1,,1,,1,,1,
ls-ex3_9.ucl,11.88,1.62,5,3,3,31.27,2.69,5,4,4,1,,1,,1,,1,,1,,1,
ls-q3_1.ucl,1.36,0.22,5,5,5,9.31,0.29,5,5,5,1,,1,,1,,1,,1,,1,
ls-q3_2.ucl,2.71,0.42,1,4,0,32.8,1.9,5,4,4,1,,1,,1,,1,,1,,1,
ls-q4_6-2.ucl,4.72,0.44,5,4,4,32.8,0.58,5,3,3,1,,1,,1,,1,,1,,1,
ls-q4_6.ucl,2.03,0.32,5,5,5,50.96,2.55,5,5,5,1,,1,,5,4,5,4,1,,5,3
ls-q4_9.ucl,13.06,1.74,1,4,0,26.39,0.02,1,0,0,1,,1,,1,,1,,1,,1,
,7.237878788,0.9148484848,,,,35.05121212,1.785454545,,,,,,,,,,,,,,,
,4.606084805,0.5782955625,,,,24.7237694,2.004195741,,,,,,,,,,,,,,,
total at 5,,,,,9,,,4,,11,,0,,0,,,,,,,,
total at 4,,,,,5,,,,,8,,0,,1,,,,,,,,
total at 3,,,,,5,,,,,3,,0,,0,,,,,,,,
total at 2,,,,,6,,,,,1,,2,,0,,,,,,,,
total at 1,,,,,3,,,,,1,,0,,0,,,,,,,,
